Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fi.base.json	54072	-	0	0	0	0	0	0	3	1315	0	0	0	0	0	0	0	1	0	0	124	124	0	0	0	4	0	1
fsh-generated/resources/Appointment-appointment-general-practitioner.json	2285	5	0	0	1	0	0	0	0	6451	0	0	0	0	0	0	0	0	0	0	20	21	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-fi-base-release-for-patient-viewing-cs.json	1166	5	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	14	2229	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fi-base-security-label-cs.json	643	4	0	0	1	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	12	73	0	0	0	0	0	0
fsh-generated/resources/Condition-id-for-diagnosis-1.json	1915	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Condition-id-for-diagnosis-2.json	2602	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/Condition-id-for-diagnosis-3.json	2205	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-child-encounter-2.json	738	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-child-encounter.json	898	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-palvelutapahtuma.json	706	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-visit.json	686	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-ward-encounter.json	882	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-id-for-episode-1.json	293	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-healthcareService-example.json	1364	4	0	0	0	0	0	0	0	3366	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Immunization-ImmunizationVaccinationExample.json	2340	4	0	0	0	0	0	0	0	3930	0	0	0	0	0	0	0	0	0	0	19	15	0	0	0	0	0	0
fsh-generated/resources/Location-LocationExample.json	559	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/Location-id-for-bed-3.json	415	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-medication-statement-insulin.json	789	4	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Organization-1.2.246.10.2085212.10.1306.json	439	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/Organization-1.2.246.10.2085212.10.1314.json	959	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Organization-1.2.246.10.8286189.10.100012.json	844	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/Parameters-exp-params.json	201	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-of-municipality.json	1394	5	0	0	0	0	0	0	0	847	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-with-turvakielto.json	1130	4	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
