Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fi.base.json	51887	-	0	0	0	0	0	0	5	173	0	0	0	0	0	0	0	1	0	0	384	254	0	1	0	7	0	1
fsh-generated/resources/Appointment-appointment-general-practitioner.json	2340	7	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	1	0	0	27	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fi-base-security-label-cs.json	644	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	3815	0	0	0	0	0	0
fsh-generated/resources/Condition-id-for-diagnosis-1.json	1915	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	24	16	0	0	0	0	0	0
fsh-generated/resources/Condition-id-for-diagnosis-2.json	2602	4	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	24	16	0	0	0	0	0	0
fsh-generated/resources/Condition-id-for-diagnosis-3.json	2205	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-child-encounter-2.json	741	3	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-child-encounter.json	901	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-palvelutapahtuma.json	706	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-visit.json	686	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-ward-encounter.json	882	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-id-for-episode-1.json	293	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-healthcareService-example.json	1364	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0
fsh-generated/resources/Immunization-ImmunizationVaccinationExample.json	2340	5	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	26	27	0	0	0	0	0	0
fsh-generated/resources/Location-LocationExample.json	559	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Location-id-for-bed-3.json	415	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-medication-statement-insulin.json	789	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Organization-1.2.246.10.2085212.10.1306.json	439	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Organization-1.2.246.10.2085212.10.1314.json	959	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/Organization-1.2.246.10.8286189.10.100012.json	844	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-of-municipality.json	1394	3	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-with-turvakielto.json	1130	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-licensed-physician.json	2615	6	1	0	0	0	0	0	1	282	0	0	0	0	0	0	0	0	0	0	23	15	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-PractitionerRoleGP.json	1474	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	21	20	0	0	0	0	0	0
fsh-generated/resources/Procedure-ColonBiopsy.json	900	3	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	0
fsh-generated/resources/Procedure-ProcedureColotomy.json	950	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Provenance-custodian-individual.json	1342	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Provenance-custodian-occupational-healthcare.json	1351	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Provenance-custodian-public-healthcare.json	1371	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Provenance-kanta-document-metadata-profile-example-2.json	2878	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	15	0	0	0	0	0	0
fsh-generated/resources/Provenance-kanta-document-metadata-profile-example.json	2609	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	19	0	0	0	0	0	0
fsh-generated/resources/Provenance-kanta-document-metadata-profile-test-example-1.json	2079	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	13	0	0	0	0	0	0
fsh-generated/resources/Provenance-kanta-document-metadata-profile-test-example-2.json	1130	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	1
fsh-generated/resources/Schedule-ScheduleExample.json	982	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	13	0	0	1	0	0	0
fsh-generated/resources/Slot-FreeSlot.json	1074	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-condition-categorization-of-accident.json	1609	4	0	0	0	0	0	22	1	31	0	0	1	0	0	0	0	1	0	0	66	2372	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-condition-cause-of-adverse-effect.json	1587	4	0	0	0	0	0	20	0	18	0	0	0	0	0	0	0	0	0	0	66	199	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-condition-caused-by-medication.json	1573	4	0	0	0	0	0	24	0	17	0	0	0	0	0	0	0	0	0	0	71	196	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-condition-endocrinological-disorder.json	1475	3	0	0	0	0	0	22	0	17	0	0	0	0	0	0	0	0	0	0	66	196	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-condition-external-cause.json	1434	4	0	0	0	0	0	27	0	18	0	0	0	0	0	0	0	0	0	0	66	162	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-condition-permanence.json	1623	3	0	0	0	0	0	46	0	33	0	0	0	0	0	0	0	0	0	0	109	222	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-condition-physical-excercise.json	1781	4	0	0	0	0	0	41	0	31	0	0	0	0	0	0	0	0	0	0	106	250	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-condition-primary.json	1690	4	1	0	0	0	0	50	0	35	0	0	0	0	0	0	0	0	0	0	107	208	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fi-base-appointment.json	2923	5	0	0	0	0	0	520	0	108	0	0	0	0	0	0	0	1	0	0	255	572	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fi-base-condition.json	1638	4	0	0	0	0	0	97	0	143	0	0	0	0	0	0	0	0	0	0	241	699	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fi-base-encounter.json	5723	9	0	0	0	0	0	174	0	201	0	0	0	0	0	0	0	1	0	0	480	1344	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fi-base-episode-of-care.json	2421	4	0	0	0	0	0	69	0	83	0	0	0	0	0	0	0	0	0	0	206	703	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fi-base-healthcare-service.json	1879	4	0	0	0	0	0	149	0	132	0	0	0	0	0	0	0	1	0	0	262	694	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fi-base-immunization.json	8932	13	0	0	0	0	0	295	0	369	0	0	0	0	0	0	0	0	0	0	746	1885	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-fi-base-information-custodian-individual.json	2220	4	0	0	0	0	0	588	0	233	0	0	1	0	0	0	0	1	0	0	579	2072	0	0	0	8	0	3
fsh-generated/resources/StructureDefinition-fi-base-information-custodian-private.json	2158	4	0	0	0	0	0	231	0	225	0	0	0	0	0	0	0	1	0	0	602	1553	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fi-base-information-custodian-public.json	2164	3	0	0	0	0	0	254	0	235	0	0	0	0	0	0	0	1	0	0	604	1433	0	0	0	8	0	0
